,L1,YEAR,PR,D,F,DOLLARS,L2,OUTLET,UNITS
6021,1,2011,408,407,1373,4023.97,10,0,2414
6022,2,2011,39,5,159,844.19,14,0,270
6023,1,2008,10,0,49,44.01,15,0,82
6024,2,2008,0,0,7,23.15,14,0,9
6025,1,2009,13,0,103,126.4,10,0,212
6026,2,2009,5,0,17,48.16,14,0,23
6027,1,2010,16,0,87,94.48,10,0,168
6028,2,2010,1,0,12,22.08,14,0,12
6029,1,2011,19,0,53,43.52,10,0,91
6030,2,2011,2,0,8,17.47,14,0,9
6031,0,2007,3,0,15,96.94,4,0,24
6032,1,2007,7,0,22,80.0,10,0,52
6033,2,2007,0,0,1,8.99,14,0,1
6034,0,2008,89,9,525,3649.32,4,0,662
6035,1,2008,167,210,1076,4013.68,10,0,2362
6036,2,2008,2,0,41,308.11,14,0,63
6037,0,2009,136,19,577,4268.98,4,0,780
6038,1,2009,162,241,1069,4089.78,10,0,2067
6039,2,2009,8,0,50,340.49,14,0,72
6040,0,2010,236,31,818,5558.46,4,0,1069
6041,1,2010,231,543,1122,4152.95,10,0,2053
6042,2,2010,14,0,75,387.1,14,0,98
6043,0,2011,251,38,929,6872.0,4,0,1095
6044,1,2011,273,414,1076,3997.65,10,0,1990
6045,2,2011,17,0,90,462.21,14,0,100
6046,1,2007,1,0,1,0.75,0,0,1
6047,0,2008,0,0,11,70.89,4,0,11
6048,1,2008,36,58,74,136.89,10,0,106
6049,2,2008,3,14,9,42.79,14,0,9
6050,0,2009,0,0,1,11.96,4,0,4
6051,1,2009,15,6,65,139.16,10,0,96
6052,2,2009,2,6,12,44.62,14,0,12
6053,0,2010,3,0,22,133.7,4,0,30
6054,1,2010,10,0,59,139.47,10,0,108
6055,2,2010,0,0,13,68.55,14,0,15
6056,0,2011,3,0,23,144.75,4,0,37
6057,1,2011,13,0,75,232.31,10,0,136
6058,2,2011,0,0,6,22.02,14,0,6
6059,0,2007,3,0,14,71.65,4,0,19
6060,1,2007,3,0,17,36.66,11,0,21
6061,2,2007,0,0,2,9.98,14,0,2
6062,0,2008,83,13,411,3402.63,4,0,651
6063,1,2008,225,354,952,3107.21,10,0,1835
6064,2,2008,7,0,50,358.9,14,0,106
6065,0,2009,125,21,497,3759.82,4,0,804
6066,1,2009,154,94,765,2695.84,10,0,1311
6067,2,2009,7,0,42,266.8,14,0,61
6068,0,2010,67,2,238,1722.06,4,0,469
6069,1,2010,61,38,327,972.91,10,0,488
6070,2,2010,5,0,24,146.93,14,0,53
6071,0,2007,5,0,24,261.07,4,0,60
6072,1,2007,17,8,70,474.03,10,0,236
6073,2,2007,1,0,8,62.36,14,0,37
6074,0,2008,340,2,1637,17287.21,4,0,3513
6075,1,2008,449,275,2248,18110.31,10,0,9610
6076,2,2008,69,2,347,2891.13,14,0,1008
6077,0,2009,357,32,1613,17625.62,4,0,3376
6078,1,2009,393,388,2346,19376.05,10,0,9570
6079,2,2009,100,4,363,2556.97,14,0,827
6080,0,2010,377,71,1752,20588.65,4,0,4169
6081,1,2010,540,463,2658,20611.25,10,0,10537
6082,2,2010,65,0,345,2473.52,14,0,854
6083,0,2011,371,21,1590,22560.16,4,0,3910
6084,1,2011,563,371,2678,18788.47,10,0,9129
6085,2,2011,79,0,349,2080.56,14,0,685
6086,0,2007,6,0,19,160.54,4,0,48
6087,1,2007,18,20,75,269.5,10,0,164
6088,2,2007,1,0,11,67.33,14,0,37
6089,0,2008,294,0,1390,12486.01,4,0,2767
6090,1,2008,451,463,2483,11238.21,10,0,7161
6091,2,2008,65,0,283,1881.03,14,0,727
6092,0,2009,315,78,1333,11783.48,4,0,2385
6093,1,2009,492,815,2761,13616.77,10,0,7790
6094,2,2009,84,2,304,1874.02,14,0,643
6095,0,2010,301,141,1436,12712.84,4,0,2839
6096,1,2010,610,710,2781,12710.7,10,0,7197
6097,2,2010,75,6,301,1792.2,14,0,577
6098,0,2011,310,92,1423,13796.22,4,0,2495
6099,1,2011,504,441,2548,11427.74,10,0,6380
6100,2,2011,82,10,303,1562.04,14,0,512
6101,0,2007,4,1,12,43.94,4,0,15
6102,1,2007,9,11,16,33.3,15,0,17
6103,0,2008,63,9,336,1976.44,4,0,432
6104,1,2008,265,421,788,2348.26,10,0,1419
6105,2,2008,5,0,42,222.08,14,0,57
6106,0,2009,102,14,414,2468.09,4,0,521
6107,1,2009,266,429,751,2241.85,10,0,1246
6108,2,2009,5,0,33,180.48,14,0,41
6109,0,2010,170,26,582,3554.14,4,0,886
6110,1,2010,316,446,834,2401.83,10,0,1323
6111,2,2010,6,0,44,213.68,14,0,51
6112,0,2011,176,4,646,4111.05,4,0,803
6113,1,2011,312,416,820,2207.42,10,0,1144
6114,2,2011,7,0,71,432.64,14,0,88
6115,0,2007,3,0,16,111.35,4,0,29
6116,1,2007,13,7,40,171.68,8,0,98
6117,2,2007,0,0,2,11.38,14,0,2
6118,0,2008,122,16,651,4921.73,4,0,1006
6119,1,2008,266,384,1405,5570.23,10,0,2977
6120,2,2008,6,2,66,482.25,14,0,102
6121,0,2009,163,68,678,5799.07,4,0,1198
6122,1,2009,335,517,1457,6625.72,10,0,3235
6123,2,2009,11,2,59,405.26,14,0,85
6124,0,2010,280,98,1078,7937.77,4,0,1641
6125,1,2010,291,482,1372,5553.72,10,0,3083
6126,2,2010,16,0,90,399.02,14,0,102
6127,0,2011,240,16,1139,8491.75,4,0,1581
6128,1,2011,273,386,1298,5455.34,10,0,2942
6129,2,2011,17,0,89,452.99,14,0,110
6130,0,2007,3,0,13,49.19,4,0,13
6131,1,2007,9,7,23,53.29,0,0,41
6132,0,2008,88,16,427,2831.85,4,0,614
6133,1,2008,222,315,891,2383.15,10,0,1447
6134,2,2008,6,0,40,264.92,14,0,51
6135,0,2009,120,6,508,3289.58,4,0,689
6136,1,2009,159,291,921,2543.96,10,0,1317
6137,2,2009,7,0,51,330.81,14,0,64
6138,0,2010,191,14,780,4739.36,4,0,1043
6139,1,2010,271,378,1021,3036.07,10,0,1542
6140,2,2010,9,0,57,335.74,14,0,82
6141,0,2011,155,4,728,4465.39,4,0,842
6142,1,2011,293,445,974,2699.88,10,0,1354
6143,2,2011,9,0,64,335.4,14,0,80
6144,0,2008,23,5,193,2591.41,4,0,429
6145,1,2008,130,108,697,3702.07,10,0,2510
6146,2,2008,0,0,30,122.43,14,0,37
6147,0,2009,17,14,55,582.43,4,0,107
6148,1,2009,33,27,145,825.01,8,0,584
6149,2,2009,4,0,20,94.88,14,0,31
6150,0,2007,3,0,16,82.31,4,0,16
6151,1,2007,4,1,11,48.0,12,0,18
6152,2,2007,2,0,4,8.97,14,0,3
6153,0,2008,45,1,243,1641.74,4,0,365
6154,1,2008,54,42,245,544.16,10,0,359
6155,2,2008,8,2,25,158.32,14,0,41
6156,0,2007,2,0,14,175.12,4,0,44
6157,1,2007,6,10,23,138.08,8,0,110
6158,0,2008,70,3,421,4895.49,4,0,875
6159,1,2008,302,171,1738,7783.8,10,0,4730
6160,2,2008,0,6,40,176.94,14,0,48
6161,0,2009,16,0,56,546.86,4,0,94
6162,1,2009,38,22,238,1508.54,8,0,775
6163,2,2009,4,14,12,58.77,14,0,22
6164,0,2007,0,1,7,69.07,4,0,14
6165,1,2007,1,1,9,46.57,8,0,31
6166,2,2007,1,0,2,10.09,14,0,6
6167,0,2008,62,62,399,4547.49,4,0,845
6168,1,2008,144,189,804,3714.71,10,0,2625
6169,2,2008,10,0,131,536.23,14,0,183
6170,0,2009,52,99,393,4400.56,4,0,806
6171,1,2009,131,281,912,4121.01,10,0,2739
6172,2,2009,3,0,93,326.0,14,0,112
6173,0,2010,74,90,506,4526.65,4,0,830
6174,1,2010,161,228,894,4082.16,10,0,2756
6175,2,2010,6,0,122,457.01,14,0,155
6176,0,2011,79,39,459,4603.54,4,0,747
6177,1,2011,115,208,743,3442.33,10,0,2463
6178,2,2011,22,0,131,421.85,14,0,167
6179,0,2007,3,0,9,90.54,4,0,36
6180,1,2007,2,1,16,19.48,10,0,12
6181,2,2007,0,0,1,8.99,14,0,1
6182,0,2008,3,4,10,64.63,4,0,13
6183,1,2008,5,2,39,66.04,11,0,37
6184,2,2008,0,0,1,4.78,14,0,2
6185,0,2007,3,0,10,77.34,4,0,25
6186,1,2007,11,20,23,26.6,0,0,28
6187,0,2008,8,2,29,192.57,4,0,73
6188,1,2008,45,70,87,166.85,10,0,164
6189,0,2007,2,0,12,164.19,4,0,49
6190,1,2007,4,3,18,82.44,0,0,68
6191,2,2007,0,0,1,2.39,14,0,1
6192,0,2008,132,17,621,6406.24,4,0,1324
6193,1,2008,218,205,1342,7931.18,10,0,5373
6194,2,2008,9,0,91,677.06,14,0,153
6195,0,2009,158,7,709,6268.81,4,0,1224
6196,1,2009,322,365,1372,8156.91,10,0,4778
6197,2,2009,13,0,87,779.73,14,0,162
6198,0,2010,183,11,843,6263.45,4,0,1285
6199,1,2010,334,327,1563,7887.56,10,0,4893
6200,2,2010,16,1,90,658.95,14,0,162
6201,0,2011,176,2,831,5870.15,4,0,1039
6202,1,2011,209,175,1224,5328.98,10,0,2992
6203,2,2011,17,0,93,686.08,14,0,164
6204,0,2007,3,0,13,98.8,4,0,21
6205,1,2007,8,3,35,174.49,10,0,122
6206,2,2007,0,0,1,26.97,14,0,3
6207,0,2008,127,34,811,9692.67,4,0,1547
6208,1,2008,182,289,1387,9249.35,10,0,5968
6209,2,2008,8,3,123,1392.0,14,0,244
6210,0,2009,153,31,910,9818.76,4,0,1555
6211,1,2009,168,251,1486,10250.95,10,0,6206
6212,2,2009,13,0,119,1429.87,14,0,240
6213,0,2010,292,10,1231,11653.11,4,0,1849
6214,1,2010,368,443,1989,11617.85,10,0,7236
6215,2,2010,18,0,141,1368.99,14,0,239
6216,0,2011,251,6,1301,12981.91,4,0,1763
6217,1,2011,294,228,1837,11886.99,10,0,6459
6218,2,2011,28,0,192,1527.25,14,0,294
6219,0,2007,4,0,15,97.99,4,0,32
